SPECIES,LITERAL LATIN,COMMON NAME,GENUS,FAMILY,ORDER,CLADE,COMMON GENUS NAME,COMMON FAMILY NAME,LIFE-FORM TYPE,SEEN AT,GROWTH FORM,SPECIFIC LOCATION,GENERAL LOCATION,HEMISPHERE,GROWTH HABIT,HORTICULTURAL DEVELOPMENT,COMMERCIAL STATUS,CONSERVATION STATUS,SOURCE,NOTES,IMAGE
nigella damascena,,love-in-a-mist,nigella,ranunculaceae,ranunculales,dicots,,,hemicryptophyte,kintbury,herb,,Mediterranean,northern,Cultivated,High,Limited,Widespread/Common,bred,,
nolina parviflora,,,nymphaea,nymphaeaceae,nymphaeales,early angiosperms,,,hemicryptophyte,singapore,herb,,North America,northern,Wild,Low,None,Widespread/Common,natural,,
nymphaea alba,,white waterlily,nymphaea,nymphaeaceae,nymphaeales,early angiosperms,,,hemicryptophyte,knighton,herb,,Europe,northern,Wild,Low,None,Widespread/Common,natural,,
nymphaea ampla,,dotleaf waterlily,nymphaea,nymphaeaceae,nymphaeales,early angiosperms,,,hemicryptophyte,lombok,herb,,Central America,,Wild,Low,None,Widespread/Common,natural,,
nymphaea mexicana,,yellow waterlily,nymphaea,nymphaeaceae,nymphaeales,early angiosperms,,,hemicryptophyte,gloucester,herb,,North America,northern,Wild,Low,None,Widespread/Common,natural,,
nymphaea nouchali,,blue lotus,nymphaea,nymphaeaceae,nymphaeales,early angiosperms,,,hydrophyte,yogyakarta,herb,,Asia,northern,Both,Moderate,Limited,Widespread/Common,natural,,
nymphaea rubra,,,nymphaea,nymphaeaceae,nymphaeales,early angiosperms,,,hemicryptophyte,bandung,herb,,Asia,northern,Wild,Low,None,Widespread/Common,natural,,
nyssa sylvatica,,tupelo,nyssa,nyssaceae,cornales,dicots,tupelos,,phanerophyte,kew,tree,Eastern United States,North America,northern,Both,Low,Limited,Widespread/Common,natural,,
ochna serrulata,,small-leaved plane,ochna,ochnacea,malpighiales,dicots,,,phanerophyte,yogyakarta,shrub,,Africa,southern,Cultivated,Moderate,Limited,Widespread/Common,bred,,
ocimum basilicum,,sweet basil,ocimum,lamiaceae,lamiales,dicots,basils,mints,hemicryptophyte,Expo,herb,,Asia,northern,Cultivated,High,Limited,Widespread/Common,bred,,
oclemena acuminata,,whorled wood aster,oclomena,asteraceae,asterales,dicots,,,hemicryptophyte,greenwich,herb,Eastern United States,North America,northern,Wild,Low,None,Widespread/Common,natural,,
olea europea,,olive,olea,oleaceae,lamiales,dicots,olives,olive,chamaephyte,Kempinski,tree,,Mediterranean,northern,Cultivated,High,Major,Widespread/Common,bred,,
oncidium sphacelatum,,kandyan dancer orchid,onchidium,orchidaceae,asparagales,monocots,,,hemicryptophyte,singapore,herb,,Central America,,Cultivated,High,Limited,Widespread/Common,bred,,
onoclea sensibilis,,sensitive fern,onoclea,onocleaceae,polypodiales,ferns,onoclea,,hemicryptophyte,greenwich,herb,Eastern United States,North America,northern,Wild,Low,None,Widespread/Common,natural,,
ononis natrix,,yellow restharrow,ononis,fabaceae,fabales,dicots,,legumes,hemicryptophyte,umm qais,herb,,Mediterranean,northern,Wild,Low,None,Widespread/Common,natural,,
opuntia cochenillifera,,cochineal nopal cactus,opuntia,cactaceae,caryophyllales,dicots,prickly pears,cactus,hemicryptophyte,Amman garden,herb,,Central America,,Both,Moderate,Limited,Widespread/Common,natural,,
opuntia ficus-indica,,cactus pear,opuntia,cactaceae,caryophyllales,dicots,prickly pears,cactus,hemicryptophyte,azraq,herb,,Central America,,Cultivated,Moderate,Limited,Widespread/Common,bred,,
opuntia microdasys,,bunny ears cactus,opuntia,cactaceae,caryophyllales,dicots,prickly pears,,hemicryptophyte,,herb,,North America,northern,Cultivated,High,Limited,Widespread/Common,bred,,
origanum vulgare,,oregano,origanum,lamiaceae,lamiales,dicots,,,hemicryptophyte,london,herb,,Mediterranean,northern,Cultivated,Moderate,Limited,Widespread/Common,bred,,
ornithogalum umbellatum,,common star of bethlehem,ornithogalum,asparagaceae,asparagales,monocots,,asparagus,hemicryptophyte,Scandinavian forest,herb,,Mediterranean,northern,Both,Moderate,Limited,Widespread/Common,natural,,
oryza sativa,,rice,oryza,poaceae,poales,monocots,,grasses,hemicryptophyte,Fifty plants,herb,,Asia,northern,Cultivated,High,Major,Widespread/Common,bred,,
oxalis corniculata,,creeping woodsorrel,oxalis,oxalidaceae,oxalidales,dicots,,,hemicryptophyte,kintbury,herb,,Worldwide,both,Wild,Low,None,Widespread/Common,natural,,
oxalis pes-caprae,,bermuda buttercup,oxalis,oxalidaceae,oxalidales,dicots,,,hemicryptophyte,Turqoise mtn,herb,,Africa,southern,Both,Low,None,Widespread/Common,natural,,
oxalis triangularis,,false shamrock,oxalis,oxalidaceae,oxalidales,dicots,,,hemicryptophyte,kintbury,herb,,South America,southern,Cultivated,High,Limited,Widespread/Common,bred,,
pachira aquatica,,provision tree,pachira,malvaceae,malvales,dicots,pachira,,phanerophyte,montreal house,tree,,Central America,,Cultivated,High,Limited,Widespread/Common,bred,,
pachycereus pringlei,,mexican giant cactus,pachycereus,cactaceae,caryophyllales,dicots,,,hemicryptophyte,,herb,,North America,northern,Wild,Low,None,Locally common,natural,,
paeonia officinalis,,common peony,paeonia,paeoniaceae,saxifragales,dicots,peonies,,hemicryptophyte,greenwich,herb,,Europe,northern,Cultivated,High,Limited,Widespread/Common,bred,,
papaver rhoeas,,scarlet poppy,papaver,papaveraceae,ranunculales,dicots,poppies,poppies,hemicryptophyte,Fifty plants,herb,,Europe,northern,Both,Moderate,Limited,Widespread/Common,natural,,
papaver somniferum,,opium poppy,papaver,papaveraceae,ranunculales,dicots,poppies,poppies,hemicryptophyte,Fifty plants,herb,,Mediterranean,northern,Cultivated,Moderate,Major,Widespread/Common,bred,,
parthenocissus inserta,,thicket creeper,parthenocissus,vitaceae,vitales,dicots,virgin creepers,,phanerophyte,greenwich,vine,,North America,northern,Wild,Low,None,Widespread/Common,natural,,
parthenocissus tricuspidata,,japanese creeper,Parthenocissus,vitaceae,vitales,dicots,,,phanerophyte,Bermondsey,vine,,Asia,northern,Both,Moderate,Limited,Widespread/Common,natural,,
parthernocissus quinquefolia,,virginia creeper,parthenocissus,vitaceae,vitales,dicots,,grapevines,phanerophyte,amman,vine,Eastern United States,North America,northern,Both,Moderate,Limited,Widespread/Common,natural,,
paspalum notatum,,bahia grass,paspalum,poaceae,poales,monocots,,grasses,hemicryptophyte,Expo,herb,,South America,southern,Cultivated,Moderate,Limited,Widespread/Common,bred,,
passiflora caerulea,,bluecrown passionflower,passiflora,passifloraceae,malpighiales,dicots,,passionfruit,phanerophyte,embassy garden,vine,,South America,southern,Both,Moderate,Limited,Widespread/Common,natural,,
passiflora edulis,,common passionfruit,passiflora,passifloraceae,malpighiales,dicots,,passionfruit,phanerophyte,yarmouk river,vine,,South America,southern,Cultivated,Moderate,Limited,Widespread/Common,bred,,
paulownia tomentosa,,princess tree,paulownia,paulowniaceae,lamiales,dicots,,,phanerophyte,kew,tree,,Asia,northern,Both,Moderate,Limited,Widespread/Common,natural,,
pelargonium myrrhifolium,,myrrhleaf storksbill,pelargonium,geraniaceae,geraniales,dicots,,geraniums,hemicryptophyte,Scandinavian forest,herb,,Africa,southern,Wild,Low,None,Widespread/Common,natural,,
pelargonium peltatum,,ivy geranium,pelargonium,geraniaceae,geraniales,dicots,,,hemicryptophyte,,herb,,Africa,southern,Cultivated,High,Limited,Widespread/Common,bred,,
pelargonium x hybridum,,garden geranium,pelargonium,geraniaceae,geraniales,dicots,,geraniums,hemicryptophyte,office,herb,,Africa,southern,Cultivated,High,Limited,Widespread/Common,bred,,
peltandra virginica,,green arrow arum,peltandra,araceae,alismatales,monocots,,,hemicryptophyte,jakarta,herb,Eastern United States,North America,northern,Wild,Low,None,Widespread/Common,natural,,
pennisetum setaceum,,fountain grass,pennisetum,poaceae,poales,monocots,fountain grasses,grasses,hemicryptophyte,Expo,herb,,Africa,southern,Cultivated,High,Limited,Widespread/Common,bred,,
persea americana,,avocado,persea,lauraceae,laurales,early angiosperms,avocadoes,,phanerophyte,Fifty plants,tree,,Central America,,Cultivated,Moderate,Major,Widespread/Common,bred,,
persea americana,,avocado,persea,lauraceae,laurales,early angiosperms,,,phanerophyte,bandung,tree,,Central America,,Cultivated,Moderate,Major,Widespread/Common,bred,,
petrea volubilis,,queen's wreath,petrea,verbenaceae,lamiales,dicots,,,phanerophyte,yogyakarta,vine,,Central America,,Cultivated,High,Limited,Widespread/Common,bred,,
petunia x atkinsiana,,garden petunia,petunia,solanaceae,solanales,dicots,,,hemicryptophyte,,herb,,South America,southern,Cultivated,High,Limited,Widespread/Common,bred,,
phellodendron amurense,,amur corktree,phellodendron,rutaceae,sapindales,dicots,corktrees,,phanerophyte,greenwich,tree,,Asia,northern,Both,Low,Limited,Widespread/Common,natural,,
phleum pratense,,timothy grass,phleum,poaceae,poales,monocots,,,hemicryptophyte,kintbury,herb,,Europe,northern,Cultivated,Moderate,Major,Widespread/Common,bred,,
phlomis fruticosa,,jerusalem sage,phlomis,lamiaceae,lamiales,dicots,,mints,phanerophyte,Office,shrub,,Mediterranean,northern,Both,Moderate,Limited,Widespread/Common,natural,,
phlox paniculata,,garden phlox,phlox,polemoniaceae,ericales,dicots,,,hemicryptophyte,london,herb,Eastern United States,North America,northern,Cultivated,High,Limited,Widespread/Common,bred,,
pheonix dactylifera,,date palm,phoenix,arecaceae,arecales,monocots,,palms,phanerophyte,Expo,tree,,,,Cultivated,Moderate,Major,Widespread/Common,bred,,
photinia x fraseri,,red tip photinia,photinia,rosaceae,rosales,dicots,,roses,phanerophyte,Office,shrub,,Asia,northern,Cultivated,High,Limited,Widespread/Common,bred,,
phragmites australis,,common reed,phragmites,poaceae,poales,monocots,,,hemicryptophyte,london,herb,,Worldwide,both,Wild,Low,None,Widespread/Common,natural,,
picea abies,,norway spruce,picea,pinaceae,pinales,conifers,spruce,,phanerophyte,Kew,tree,,Europe,northern,Both,Moderate,Limited,Widespread/Common,natural,,
picea glauca,,white spruce,picea,pinaceae,pinales,conifers,spruces,,phanerophyte,charlevoix,tree,,North America,northern,Both,Low,Limited,Widespread/Common,natural,,
picea orientales,,caucasian spruce,picea,pinaceae,pinales,conifers,spruce,,phanerophyte,kew,tree,,Asia,northern,Both,Low,Limited,Widespread/Common,natural,,
picea pungens,,blue spruce,picea,pinaceae,pinales,conifers,,,phanerophyte,nanaimo,tree,Western United States,North America,northern,Both,Moderate,Limited,Widespread/Common,natural,,
picea sitchensis,,sitka spruce,picea,pinaceae,pinales,conifers,spruce,,phanerophyte,kew,tree,Western United States,North America,northern,Both,Low,Major,Widespread/Common,natural,,
picea sitchensis,,sitka spruce,picea,pinaceae,pinales,conifers,,,phanerophyte,sooke,tree,Western United States,North America,northern,Both,Low,Major,Widespread/Common,natural,,
picea smithiana,,west himalayan spruce,picea,pinaceae,pinales,conifers,spruce,,phanerophyte,kew,tree,,,,Both,Low,Limited,Widespread/Common,natural,,
pilosella aurantiaca,,fox-and-cubs,pilosella,asteraceae,asterales,dicots,hawkweeds,,hemicryptophyte,charlevoix,herb,,Europe,northern,Wild,Low,None,Widespread/Common,natural,,
pinus banksiana,,jack pine,pinus,pinaceae,pinales,conifers,pines,,phanerophyte,charlevoix,tree,,North America,northern,Wild,Low,Limited,Widespread/Common,natural,,
pinus halepensis,,aleppo pine,pinus,pinaceae,pinales,conifers,pines,pine,phanerophyte,Scandinavian forest,tree,,Mediterranean,northern,Both,Low,Limited,Widespread/Common,natural,,
pinus heldreichii,,bosnian pine,pinus,pinaceae,pinales,conifers,pines,,phanerophyte,kew,tree,,Europe,northern,Both,Low,Limited,Locally common,natural,,
pinus mugo,,mountain pine,pinus,pinaceae,pinales,conifers,,,phanerophyte,nanaimo,tree,,Europe,northern,Both,Moderate,Limited,Widespread/Common,natural,,
pinus nigra,,austrian pine,pinus,pinaceae,pinales,conifers,pines,,phanerophyte,kew,tree,,Europe,northern,Both,Moderate,Limited,Widespread/Common,natural,,
pinus patula,,jelecote pine,pinus,pinaceae,pinales,conifers,pines,,phanerophyte,Kew,tree,,Central America,,Both,Low,Limited,Widespread/Common,natural,,
pinus resinosa,,red pine,pinus,pinaceae,pinales,conifers,pines,,phanerophyte,charlevoix,tree,Eastern United States,North America,northern,Wild,Low,Limited,Widespread/Common,natural,,
pinus roxburghii,,chir pine,pinus,pinaceae,pinales,conifers,pines,,phanerophyte,kew,tree,,,,Both,Low,Limited,Widespread/Common,natural,,
pinus strobus,,eastern white pine,pinus,pinaceae,pinales,conifers,pines,,phanerophyte,greenwich,tree,Eastern United States,North America,northern,Both,Low,Limited,Widespread/Common,natural,,
pinus sylvestris,,scots pine,pinus,pinaceae,pinales,conifers,pines,,phanerophyte,london,tree,,Europe,northern,Both,Low,Limited,Widespread/Common,natural,,
piper excelsum,,kawakawa,piper,piperaceae,piperales,dicots,pepper plants,,phanerophyte,Kew,shrub,,,southern,Wild,Low,None,Locally common,natural,,
piper nigrum,,black pepper,piper,piperaceae,piperales,dicots,pepper plants,pepper,phanerophyte,Fifty plants,vine,,,,Cultivated,Moderate,Major,Widespread/Common,bred,,
pistacia chinensis,,chinese pistache,pistacia,anacardiaceae,sapindales,dicots,,,phanerophyte,greenwich,tree,,Asia,northern,Both,Moderate,Limited,Widespread/Common,natural,,
pistacia terebinthus,,terebinth,pistacia,anacardiaceae,sapindales,dicots,pistachio,cashews and sumac,phanerophyte,umm qais,tree,,Mediterranean,northern,Wild,Low,None,Widespread/Common,natural,,
pisum sativum,,pea,pisum,fabaceae,fabales,dicots,,legumes,hemicryptophyte,Fifty plants,herb,,Mediterranean,northern,Cultivated,High,Major,Widespread/Common,bred,,
pithecellobium dulce,,guamuchil,pithecellobium,fabaceae,fabales,dicots,,legumes,phanerophyte,Expo,tree,,Central America,,Both,Low,Limited,Widespread/Common,natural,,
pittosporum crassifolium,,karo,pittosporum,pittosporaceae,apiales,dicots,,,phanerophyte,Kew,shrub,,,southern,Both,Low,None,Locally common,natural,,
pittosporum fairchildii,,farchild's kohuhu,pittosporum,pittosporaceae,apiales,dicots,,,phanerophyte,kew,shrub,,,southern,Cultivated,Low,None,Locally common,bred,,
pittosporum tenuifolium,,kohuhu,pittosporum,pittosporaceae,apiales,dicots,,,phanerophyte,Bermondsey,shrub,,,southern,Both,Moderate,Limited,Locally common,natural,,
pittosporum tobira,,japanese cheesewood,pittosporum,pittosporaceae,apiales,dicots,,,phanerophyte,hyatt amman,shrub,,Asia,northern,Cultivated,High,Limited,Widespread/Common,bred,,
plantago major,,major plantain,plantago,plantaginaceae,lamiales,dicots,plantain weeds,,hemicryptophyte,greenwich,herb,,Europe,northern,Wild,Low,None,Widespread/Common,natural,,
platanus occidentalis,,america sycamore,platanus,platanaceae,proteales,dicots,plane trees,,phanerophyte,embassy garden,tree,Eastern United States,North America,northern,Both,Moderate,Limited,Widespread/Common,natural,,
platanus orientalis,,oriental plane,platanus,platanaceae,proteales,dicots,plane trees,planes,phanerophyte,amman,tree,,Europe,northern,Both,Moderate,Limited,Widespread/Common,natural,,
platanus x hispanica,,london plane,platanus,platanaceae,proteales,dicots,plane trees,,phanerophyte,Bermondsey,tree,,,,Cultivated,High,Limited,Widespread/Common,bred,,
platycerium bifurcatum,,elkhorn fern,platycerium,polypodiacea,polypodiales,ferns,,,hemicryptophyte,jakarta,herb,Australia,Oceania,southern,Cultivated,High,Limited,Widespread/Common,bred,,
platycladus orientalis,,chinese arborvitae,platycladus,cupressaceae,cupressales,conifers,,cypress,phanerophyte,Amman garden,tree,,Asia,northern,Both,Moderate,Limited,Widespread/Common,natural,,
plectranthus ciliatus,,speckled spur-flower,plectranthus,lamiaceae,lamiales,dicots,,,hemicryptophyte,jakarta,herb,,Africa,southern,Cultivated,Moderate,Limited,Widespread/Common,bred,,
plectranthus neochilus,,lobster bush,plectranthus,lamiaceae,lamiales,dicots,,mints,hemicryptophyte,rum desert,herb,,Africa,southern,Cultivated,Moderate,Limited,Widespread/Common,bred,,
plectranthus scutellaroides,,,plectranthus,lamiaceae,lamiales,dicots,,,hemicryptophyte,luang prabang,herb,,Asia,northern,Cultivated,High,Limited,Widespread/Common,bred,,
plumbago auriculata,,blue plumbago,plumbago,plumbaginaceae,caryophyllales,dicots,plumbagos,,phanerophyte,around amman,shrub,,Africa,southern,Cultivated,High,Limited,Widespread/Common,bred,,
plumeria obtusa,,white frangipani,plumeria,apocynaceae,gentianales,dicots,,,phanerophyte,,tree,,Central America,,Cultivated,High,Limited,Widespread/Common,bred,,
plumeria rubra,,mexican plumeria,plumeria,apocynaceae,gentianales,dicots,,,phanerophyte,,tree,,Central America,,Cultivated,High,Limited,Widespread/Common,bred,,
poa bulbosa,,bulbous meadow grass,poa,poaceae,poales,monocots,grasses,grasses,geophyte,Scandinavian forest,herb,,Mediterranean,northern,Wild,Low,None,Widespread/Common,natural,,
podocarpus macrophyllus,,buddhist pine,podocarpus,podocarpaceae,araucariales,conifers,,,phanerophyte,singapore,tree,,Asia,northern,Cultivated,Moderate,Limited,Widespread/Common,bred,,
podocarpus matudae,,podocarpus matudae,podocarpus,podocarpaceae,araucariales,conifers,totaras,,phanerophyte,kew,tree,,Central America,,Both,Low,None,Locally common,natural,,
podranea ricasoliana,,pink trumpet vine,podranea,bignoniaceae,lamiales,dicots,african trumpet creepers,,phanerophyte,around amman,vine,,Africa,southern,Cultivated,High,Limited,Widespread/Common,bred,,
polygala myrtifolia,,sweet pea shrub,polygala,polygalaceae,fabales,dicots,,,phanerophyte,Amman garden,shrub,,Africa,southern,Cultivated,High,Limited,Widespread/Common,bred,,
polystichum munitum,,western sword fern,polystichum,dryopteridaceae,polypodiales,ferns,,,hemicryptophyte,nanaimo,herb,Western United States,North America,northern,Wild,Low,None,Widespread/Common,natural,,
pongamia pinnata,,indian beech tree,pongamia,fabaceae,fabales,dicots,,legumes,phanerophyte,Expo,tree,,,,Both,Low,Limited,Widespread/Common,natural,,
populus alba,,white poplar,populus,salicaceae,malpighiales,dicots,,willows,phanerophyte,around amman,tree,,Europe,northern,Both,Low,Limited,Widespread/Common,natural,,
populus nigra,,black poplar,populus,salicaceae,malpighiales,dicots,,willows,phanerophyte,yarmouk river,tree,,Europe,northern,Both,Low,Limited,Widespread/Common,natural,,
populus tremuloides,,trembling aspen,populus,salicaceae,malpighiales,dicots,poplars,willows,phanerophyte,Amman garden,tree,,North America,northern,Wild,Low,Limited,Widespread/Common,natural,,
premnopitys ferruginea,,miro,premnopitys,podocarpaceae,araucariales,conifers,,,phanerophyte,Kew,tree,,,southern,Wild,Low,None,Locally common,natural,,
protea cynaroides,,king protea,protea,proteaceae,proteales,dicots,proteas,proteas,phanerophyte,cape,shrub,,Africa,southern,Cultivated,High,Limited,Locally common,bred,,
prunella vulgaris,,woundwort,prunella,lamiaceae,lamiales,dicots,,,hemicryptophyte,london,herb,,,northern,Wild,Low,None,Widespread/Common,natural,,
prunus avium,,wild cherry,prunus,rosaceae,rosales,dicots,,,phanerophyte,kintbury,tree,,Europe,northern,Both,Moderate,Limited,Widespread/Common,natural,,
prunus cerasifera,,cherry plum,prunus,rosaceae,rosales,dicots,cherries,,phanerophyte,around amman,tree,,Asia,northern,Both,Moderate,Limited,Widespread/Common,natural,,
prunus domestica,,common plum,prunus,rosaceae,rosales,dicots,,,phanerophyte,london,tree,,Europe,northern,Cultivated,High,Limited,Widespread/Common,bred,,
prunus dulcis,,almond,prunus,rosaceae,rosales,dicots,,roses,phanerophyte,Scandinavian forest,tree,,Mediterranean,northern,Cultivated,High,Major,Widespread/Common,bred,,
prunus pensylvanica,,fire cherry,prunus,rosaceae,rosales,dicots,cherries,,phanerophyte,greenwich,tree,Eastern United States,North America,northern,Wild,Low,None,Widespread/Common,natural,,
prunus persica,,peach,prunus,rosaceae,rosales,dicots,cherries,,phanerophyte,around amman,tree,,Asia,northern,Cultivated,High,Major,Widespread/Common,bred,,
prunus serotina,,black cherry,prunus,rosaceae,rosales,dicots,,,phanerophyte,greenwich,tree,Eastern United States,North America,northern,Wild,Low,Limited,Widespread/Common,natural,,
pseuderanthemum carruthersii,,carruther's falseface,pseuderanthemum,acanthaceae,lamiales,dicots,,,hemicryptophyte,,herb,,Asia,northern,Cultivated,Moderate,Limited,Widespread/Common,bred,,
pseudopanax crassifolius,,,pseudopanax,araliaceae,apiales,dicots,,,phanerophyte,knighton,shrub,,,southern,Wild,Low,None,Locally common,natural,,
pseudopanax crassifolius x lessonii,,houpara,pseudopanax,araliaceae,apiales,dicots,,aralia,phanerophyte,Kew,shrub,,,southern,Both,Low,None,Locally common,natural,,
pseudotsuga japonica,,japanese douglas fir,pseudotsuga,pinaceae,pinales,conifers,douglas fir,,phanerophyte,kew,tree,,Asia,northern,Both,Low,Limited,Locally common,natural,,
pseudotsuga menziesii,,douglas-fir,pseudotsuga,pinaceae,pinales,conifers,,,phanerophyte,nanaimo,tree,Western United States,North America,northern,Both,Low,Major,Widespread/Common,natural,,
psidium guajava,,common guava,psidium,myrtaceae,myrtales,dicots,,myrtles,phanerophyte,yarmouk river,tree,,Central America,,Cultivated,Moderate,Limited,Widespread/Common,bred,,
pteridium aquilinum,,common bracken,pteridium,dennstaedtiacea,polypodiales,ferns,brackens,,hemicryptophyte,charlevoix,herb,,Worldwide,both,Wild,Low,None,Widespread/Common,natural,,
pteris cretica,,cretan brake,pteris,pteridaceae,polypodiales,ferns,,,hemicryptophyte,jakarta,herb,,Mediterranean,northern,Cultivated,Moderate,Limited,Widespread/Common,bred,,
punica granatum,,pomegranate,punica,lythraceae,myrtales,dicots,,,phanerophyte,,tree,,Mediterranean,northern,Cultivated,Moderate,Limited,Widespread/Common,bred,,
pycnanthemum muticum,,blunt mountain mint,pycnanthemum,lamiaceae,lamiales,dicots,,,hemicryptophyte,new york,herb,Eastern United States,North America,northern,Wild,Low,None,Widespread/Common,natural,,
pyracantha coccinea,,firethorn,pyracantha,rosaceae,rosales,dicots,,,phanerophyte,,shrub,,Europe,northern,Both,High,Limited,Widespread/Common,bred,,
pyrus communis,,common pear,pyrus,rosaceae,rosales,dicots,pears,roses,phanerophyte,Scandinavian forest,tree,,Europe,northern,Cultivated,High,Major,Widespread/Common,bred,,
quercus garryana,,oregon oak,quercus,fagaceae,fagales,dicots,,,phanerophyte,nanaimo,tree,Western United States,North America,northern,Wild,Low,Limited,Widespread/Common,natural,,
quercus imbricaria,,shingle oak,quercus,fagaceae,fagales,dicots,oaks,,phanerophyte,jakarta,tree,Eastern United States,North America,northern,Wild,Low,Limited,Widespread/Common,natural,,
quercus macrocarpa,,bur oak,quercus,fagaceae,fagales,dicots,oaks,,phanerophyte,new york,tree,Eastern United States,North America,northern,Wild,Low,Limited,Widespread/Common,natural,,
quercus palustris,,pin oak,quercus,fagaceae,fagales,dicots,oaks,,phanerophyte,kew,tree,Eastern United States,North America,northern,Both,Moderate,Limited,Widespread/Common,natural,,
quercus robur,,english/pedunculate oak,quercus,fagaceae,fagales,dicots,oaks,,phanerophyte,Bermondsey,tree,,Europe,northern,Both,Moderate,Limited,Widespread/Common,natural,,
quercus rubra,,red oak,quercus,fagaceae,fagales,dicots,oaks,,phanerophyte,Kew,tree,Eastern United States,North America,northern,Both,Moderate,Limited,Widespread/Common,natural,,
quercus suber,,cork oak,quercus,fagaceae,fagales,dicots,,,phanerophyte,singapore,tree,,Mediterranean,northern,Both,Low,Limited,Widespread/Common,natural,,
ranunculus bulbosus,,bulbous buttercup,ranunculus,ranunculaceae,ranunculales,dicots,,,geophyte,kintbury,herb,,Europe,northern,Wild,Low,None,Widespread/Common,natural,,
ranunculus repens,,,ranunculus,ranunculaceae,ranunculales,dicots,,,hemicryptophyte,knighton,herb,,Europe,northern,Wild,Low,None,Widespread/Common,natural,,
rapistrum rugosum,,bastard cabbage,rapistrum,brassicaceae,brassicales,dicots,,mustard and cabbage,hemicryptophyte,Scandinavian forest,herb,,Mediterranean,northern,Wild,Low,None,Widespread/Common,natural,,
ratibida pinnata,,prairie coneflower,ratibida,asteraceae,asterales,dicots,,,hemicryptophyte,new york,herb,,North America,northern,Wild,Low,None,Widespread/Common,natural,,
retama raetam,,levant broom,retama,fabaceae,fabales,dicots,brooms,legumes,phanerophyte,petra desert,shrub,,Mediterranean,northern,Wild,Low,None,Widespread/Common,natural,,
reynoutria japonica,,japanese knotweed,reynoutria,polygonaceae,caryophyllales,dicots,reynoutria,,hemicryptophyte,charlevoix,herb,,Asia,northern,Both,Low,None,Widespread/Common,natural,,
rhododendron ferrugineum,,rusty-leaved alpenrose,rhododendron,ericaceae,ericales,dicots,,,phanerophyte,,shrub,,Europe,northern,Wild,Low,None,Locally common,natural,,
rhododendron occidentale,,western azalea,rhododendron,ericaceae,ericales,dicots,,,phanerophyte,Kew,shrub,Western United States,North America,northern,Both,High,Limited,Widespread/Common,bred,,
rhododenron indicum,,,rhododendron,ericaceae,ericales,dicots,,,phanerophyte,singapore,shrub,,Asia,northern,Cultivated,High,Limited,Widespread/Common,bred,,
rhododenron viscosum,,,rhododendron,ericaceae,ericales,dicots,,,phanerophyte,singapore,shrub,Eastern United States,North America,northern,Both,High,Limited,Widespread/Common,bred,,
rhus glabra,,smooth sumac,rhus,anacardiaceae,sapindales,dicots,sumacs,,phanerophyte,charlevoix,shrub,Eastern United States,North America,northern,Wild,Low,None,Widespread/Common,natural,,
rhus typhina,,staghorn sumac,rhus,anacardiaceae,sapindales,dicots,sumacs,,phanerophyte,charlevoix,shrub,Eastern United States,North America,northern,Wild,Low,None,Widespread/Common,natural,,
ribes rubrum,,redcurrant,ribes,grossulariacea,saxifragales,dicots,,,phanerophyte,kintbury,shrub,,Europe,northern,Cultivated,Moderate,Limited,Widespread/Common,bred,,
romneya coulteri,,california tree poppy,romneya,papaveraceae,ranunculales,dicots,,,hemicryptophyte,nanaimo,herb,Western United States,North America,northern,Both,Low,None,Locally common,natural,,
rosa canina,,rose,rosa,rosaceae,rosales,dicots,roses,roses,phanerophyte,Fifty plants,shrub,,Europe,northern,Both,High,Major,Widespread/Common,bred,,
rosa chinensis,,china rose,rosa,rosaceae,rosales,dicots,roses,roses,phanerophyte,Floral bouquet,shrub,,Asia,northern,Cultivated,High,Major,Widespread/Common,bred,,
rosa multiflora,,multiflora rose,rosa,rosaceae,rosales,dicots,roses,,phanerophyte,greenwich,shrub,,Asia,northern,Both,Moderate,Limited,Widespread/Common,natural,,
rosa rugosa,,rugosa rose,rosa,rosaceae,rosales,dicots,roses,,phanerophyte,charlevoix,shrub,,Asia,northern,Both,Moderate,Limited,Widespread/Common,natural,,
rosa setigera,,,rosa,rosaceae,rosales,dicots,roses,,phanerophyte,knighton,shrub,Eastern United States,North America,northern,Wild,Low,None,Widespread/Common,natural,,
rubus caesius,,,rubus,rosaceae,rosales,dicots,,,phanerophyte,knighton,shrub,,Europe,northern,Wild,Low,None,Widespread/Common,natural,,
rubus laciniatus,,cutleaf blackberry,rubus,rosaceae,rosales,dicots,,,phanerophyte,kintbury,shrub,,Europe,northern,Both,Low,Limited,Widespread/Common,natural,,
rubus ulmifolius,,wild blackberry,rubus,rosaceae,rosales,dicots,,,phanerophyte,kintbury,shrub,,Europe,northern,Wild,Low,Limited,Widespread/Common,natural,,
rudbeckia laciniata,,cutleaf coneflower,rudbeckia,asteraceae,asterales,dicots,black-eyed susans,,hemicryptophyte,charlevoix,herb,Eastern United States,North America,northern,Wild,Low,None,Widespread/Common,natural,,
ruellia simplex,,mexican ruellia,ruellia,acanthaceae,lamiales,dicots,ruellias,,hemicryptophyte,Expo,herb,,Central America,,Cultivated,Moderate,Limited,Widespread/Common,bred,,
ruscus aculeatus,,butchers-broom,ruscus,asparagaceae,asparagales,monocots,,,phanerophyte,london,shrub,,Europe,northern,Wild,Low,None,Widespread/Common,natural,,
