SPECIES,LITERAL LATIN,COMMON NAME,GENUS,FAMILY,ORDER,CLADE,COMMON GENUS NAME,COMMON FAMILY NAME,LIFE-FORM TYPE,SEEN AT,GROWTH FORM,GEOGRAPHIC ORIGIN,GROWTH HABIT,HORTICULTURAL DEVELOPMENT,COMMERCIAL STATUS,CONSERVATION STATUS
pittosporum fairchildii,,farchild's kohuhu,pittosporum,pittosporaceae,apiales,dicots,,,,kew,shrub,New Zealand,Cultivated,Low,None,Locally common
pittosporum tenuifolium,,kohuhu,pittosporum,pittosporaceae,apiales,dicots,,,,Bermondsey,shrub,New Zealand,Both,Moderate,Limited,Locally common
pittosporum tobira,,japanese cheesewood,pittosporum,pittosporaceae,apiales,dicots,,,,hyatt amman,shrub,Asia,Cultivated,High,Limited,Widespread/Common
plantago major,,major plantain,plantago,plantaginaceae,lamiales,dicots,plantain weeds,,,greenwich,herb,Europe,Wild,Low,None,Widespread/Common
platanus occidentalis,,america sycamore,platanus,platanaceae,proteales,dicots,plane trees,,tree,embassy garden,tree,Eastern North America,Both,Moderate,Limited,Widespread/Common
platanus orientalis,,oriental plane,platanus,platanaceae,proteales,dicots,plane trees,planes,tree,amman,tree,Europe,Both,Moderate,Limited,Widespread/Common
platanus x hispanica,,london plane,platanus,platanaceae,proteales,dicots,plane trees,,tree,Bermondsey,tree,Hybrid,Cultivated,High,Limited,Widespread/Common
platycerium bifurcatum,,elkhorn fern,platycerium,polypodiacea,polypodiales,ferns,,,,jakarta,herb,Australia,Cultivated,High,Limited,Widespread/Common
platycladus orientalis,,chinese arborvitae,platycladus,cupressaceae,cupressales,conifers,,cypress,tree,Amman garden,tree,Asia,Both,Moderate,Limited,Widespread/Common
plectranthus ciliatus,,speckled spur-flower,plectranthus,lamiaceae,lamiales,dicots,,,,jakarta,herb,Africa,Cultivated,Moderate,Limited,Widespread/Common
plectranthus neochilus,,lobster bush,plectranthus,lamiaceae,lamiales,dicots,,mints,,rum desert,herb,Africa,Cultivated,Moderate,Limited,Widespread/Common
plectranthus scutellaroides,,,plectranthus,lamiaceae,lamiales,dicots,,,,luang prabang,herb,Southeast Asia,Cultivated,High,Limited,Widespread/Common
plumbago auriculata,,blue plumbago,plumbago,plumbaginaceae,caryophyllales,dicots,plumbagos,,,around amman,shrub,Africa,Cultivated,High,Limited,Widespread/Common
plumeria obtusa,,white frangipani,plumeria,apocynaceae,gentianales,dicots,,,,NA,tree,Central America,Cultivated,High,Limited,Widespread/Common
plumeria rubra,,mexican plumeria,plumeria,apocynaceae,gentianales,dicots,,,,NA,tree,Central America,Cultivated,High,Limited,Widespread/Common
poa bulbosa,,bulbous meadow grass,poa,poaceae,poales,monocots,grasses,grasses,,Scandinavian forest,herb,Mediterranean,Wild,Low,None,Widespread/Common
podocarpus macrophyllus,,buddhist pine,podocarpus,podocarpaceae,araucariales,conifers,,,,singapore,tree,Asia,Cultivated,Moderate,Limited,Widespread/Common
podocarpus matudae,,podocarpus matudae,podocarpus,podocarpaceae,araucariales,conifers,totaras,,,kew,tree,Central America,Both,Low,None,Locally common
podranea ricasoliana,,pink trumpet vine,podranea,bignoniaceae,lamiales,dicots,african trumpet creepers,,,around amman,vine,Africa,Cultivated,High,Limited,Widespread/Common
polygala myrtifolia,,sweet pea shrub,polygala,polygalaceae,fabales,dicots,,,,Amman garden,shrub,Africa,Cultivated,High,Limited,Widespread/Common
polystichum munitum,,western sword fern,polystichum,dryopteridaceae,polypodiales,ferns,,,,nanaimo,herb,Western North America,Wild,Low,None,Widespread/Common
pongamia pinnata,,indian beech tree,pongamia,fabaceae,fabales,dicots,,legumes,tree,Expo,tree,India,Both,Low,Limited,Widespread/Common
populus alba,,white poplar,populus,salicaceae,malpighiales,dicots,,willows,tree,around amman,tree,Europe,Both,Low,Limited,Widespread/Common
populus nigra,,black poplar,populus,salicaceae,malpighiales,dicots,,willows,tree,yarmouk river,tree,Europe,Both,Low,Limited,Widespread/Common
populus tremuloides,,trembling aspen,populus,salicaceae,malpighiales,dicots,poplars,willows,tree,Amman garden,tree,North America,Wild,Low,Limited,Widespread/Common
premnopitys ferruginea,,miro,premnopitys,podocarpaceae,araucariales,conifers,,,,Kew,tree,New Zealand,Wild,Low,None,Locally common
,,,primula,primulaceae,ericales,dicots,primroses,,,NA,herb,Northern Hemisphere,Both,High,Limited,Widespread/Common
,,,prosopis,fabaceae,fabales,dicots,mesquites,,,NA,tree,Americas,Both,Low,Limited,Widespread/Common
protea cynaroides,,king protea,protea,proteaceae,proteales,dicots,proteas,proteas,,cape,shrub,Africa,Cultivated,High,Limited,Locally common
prunella vulgaris,,woundwort,prunella,lamiaceae,lamiales,dicots,,,,london,herb,Northern Hemisphere,Wild,Low,None,Widespread/Common
prunus avium,,wild cherry,prunus,rosaceae,rosales,dicots,,,tree,kintbury,tree,Europe,Both,Moderate,Limited,Widespread/Common
prunus cerasifera,,cherry plum,prunus,rosaceae,rosales,dicots,cherries,,tree,around amman,tree,Asia,Both,Moderate,Limited,Widespread/Common
prunus domestica,,common plum,prunus,rosaceae,rosales,dicots,,,,london,tree,Europe,Cultivated,High,Limited,Widespread/Common
prunus dulcis,,almond,prunus,rosaceae,rosales,dicots,,roses,tree,Scandinavian forest,tree,Mediterranean,Cultivated,High,Major,Widespread/Common
prunus pensylvanica,,fire cherry,prunus,rosaceae,rosales,dicots,cherries,,,greenwich,tree,Eastern North America,Wild,Low,None,Widespread/Common
prunus persica,,peach,prunus,rosaceae,rosales,dicots,cherries,,tree,around amman,tree,Asia,Cultivated,High,Major,Widespread/Common
prunus serotina,,black cherry,prunus,rosaceae,rosales,dicots,,,,greenwich,tree,Eastern North America,Wild,Low,Limited,Widespread/Common
pseuderanthemum carruthersii,,carruther's falseface,pseuderanthemum,acanthaceae,lamiales,dicots,,,,NA,herb,Southeast Asia,Cultivated,Moderate,Limited,Widespread/Common
,,,pseudolaryx,pinaceae,pinales,conifers,golden larch,,tree,NA,tree,China,Both,Low,Limited,Locally common
pseudopanax crassifolius,,,pseudopanax,araliaceae,apiales,dicots,,,,knighton,shrub,New Zealand,Wild,Low,None,Locally common
pseudopanax crassifolius x lessonii,,houpara,pseudopanax,araliaceae,apiales,dicots,,aralia,,Kew,shrub,New Zealand,Both,Low,None,Locally common
,,,pseudotaxus,taxaceae,pinales,conifers,white berry yew,,tree,NA,shrub,Asia,Wild,Low,None,Rare
pseudotsuga japonica,,japanese douglas fir,pseudotsuga,pinaceae,pinales,conifers,douglas fir,,tree,kew,tree,Asia,Both,Low,Limited,Locally common
pseudotsuga menziesii,,douglas-fir,pseudotsuga,pinaceae,pinales,conifers,,,tree,nanaimo,tree,Western North America,Both,Low,Major,Widespread/Common
psidium guajava,,common guava,psidium,myrtaceae,myrtales,dicots,,myrtles,tree,yarmouk river,tree,Central America,Cultivated,Moderate,Limited,Widespread/Common
,,,psychotria,rubiaceae,gentianales,dicots,,,,NA,shrub,Tropical worldwide,Wild,Low,None,Widespread/Common
pteridium aquilinum,,common bracken,pteridium,dennstaedtiacea,polypodiales,ferns,brackens,,,charlevoix,herb,Worldwide,Wild,Low,None,Widespread/Common
pteris cretica,,cretan brake,pteris,pteridaceae,polypodiales,ferns,,,,jakarta,herb,Mediterranean,Cultivated,Moderate,Limited,Widespread/Common
,,,pterocarya,juglandaceae,fagales,dicots,wingnuts,,,NA,tree,Asia,Both,Low,Limited,Widespread/Common
punica granatum,,pomegranate,punica,lythraceae,myrtales,dicots,,,,NA,tree,Mediterranean,Cultivated,Moderate,Limited,Widespread/Common
pycnanthemum muticum,,blunt mountain mint,pycnanthemum,lamiaceae,lamiales,dicots,,,,new york,herb,Eastern North America,Wild,Low,None,Widespread/Common
pyracantha coccinea,,firethorn,pyracantha,rosaceae,rosales,dicots,,,,NA,shrub,Europe,Both,High,Limited,Widespread/Common
pyrus communis,,common pear,pyrus,rosaceae,rosales,dicots,pears,roses,tree,Scandinavian forest,tree,Europe,Cultivated,High,Major,Widespread/Common
quercus garryana,,oregon oak,quercus,fagaceae,fagales,dicots,,,tree,nanaimo,tree,Western North America,Wild,Low,Limited,Widespread/Common
quercus imbricaria,,shingle oak,quercus,fagaceae,fagales,dicots,oaks,,,jakarta,tree,Eastern North America,Wild,Low,Limited,Widespread/Common
quercus macrocarpa,,bur oak,quercus,fagaceae,fagales,dicots,oaks,,tree,new york,tree,Eastern North America,Wild,Low,Limited,Widespread/Common
quercus palustris,,pin oak,quercus,fagaceae,fagales,dicots,oaks,,tree,kew,tree,Eastern North America,Both,Moderate,Limited,Widespread/Common
quercus robur,,english/pedunculate oak,quercus,fagaceae,fagales,dicots,oaks,,tree,Bermondsey,tree,Europe,Both,Moderate,Limited,Widespread/Common
quercus rubra,,red oak,quercus,fagaceae,fagales,dicots,oaks,,tree,Kew,tree,Eastern North America,Both,Moderate,Limited,Widespread/Common
quercus suber,,cork oak,quercus,fagaceae,fagales,dicots,,,,singapore,tree,Mediterranean,Both,Low,Limited,Widespread/Common
ranunculus bulbosus,,bulbous buttercup,ranunculus,ranunculaceae,ranunculales,dicots,,,,kintbury,herb,Europe,Wild,Low,None,Widespread/Common
ranunculus repens,,,ranunculus,ranunculaceae,ranunculales,dicots,,,,knighton,herb,Europe,Wild,Low,None,Widespread/Common
,,,ranunculus,ranunculaceae,ranunculales,dicots,buttercups,,,NA,herb,Worldwide,Wild,Low,None,Widespread/Common
rapistrum rugosum,,bastard cabbage,rapistrum,brassicaceae,brassicales,dicots,,mustard and cabbage,,Scandinavian forest,herb,Mediterranean,Wild,Low,None,Widespread/Common
ratibida pinnata,,prairie coneflower,ratibida,asteraceae,asterales,dicots,,,,new york,herb,North America,Wild,Low,None,Widespread/Common
retama raetam,,levant broom,retama,fabaceae,fabales,dicots,brooms,legumes,,petra desert,shrub,Mediterranean,Wild,Low,None,Widespread/Common
reynoutria japonica,,japanese knotweed,reynoutria,polygonaceae,caryophyllales,dicots,reynoutria,,,charlevoix,herb,Asia,Both,Low,None,Widespread/Common
,,,rheum,polygonaceae,caryophyllales,dicots,rhubarb,,,NA,herb,Asia,Cultivated,Moderate,Limited,Widespread/Common
rhododendron ferrugineum,,rusty-leaved alpenrose,rhododendron,ericaceae,ericales,dicots,,,,NA,shrub,Europe,Wild,Low,None,Locally common
rhododendron occidentale,,western azalea,rhododendron,ericaceae,ericales,dicots,,,,Kew,shrub,Western North America,Both,High,Limited,Widespread/Common
rhododenron indicum,,,rhododendron,ericaceae,ericales,dicots,,,,singapore,shrub,Asia,Cultivated,High,Limited,Widespread/Common
rhododenron viscosum,,,rhododendron,ericaceae,ericales,dicots,,,,singapore,shrub,Eastern North America,Both,High,Limited,Widespread/Common
rhus glabra,,smooth sumac,rhus,anacardiaceae,sapindales,dicots,sumacs,,,charlevoix,shrub,Eastern North America,Wild,Low,None,Widespread/Common
rhus typhina,,staghorn sumac,rhus,anacardiaceae,sapindales,dicots,sumacs,,,charlevoix,shrub,Eastern North America,Wild,Low,None,Widespread/Common
ribes rubrum,,redcurrant,ribes,grossulariacea,saxifragales,dicots,,,,kintbury,shrub,Europe,Cultivated,Moderate,Limited,Widespread/Common
,,,robinia,fabaceae,fabales,dicots,locusts,,,NA,tree,Eastern North America,Both,Low,Limited,Widespread/Common
romneya coulteri,,california tree poppy,romneya,papaveraceae,ranunculales,dicots,,,,nanaimo,herb,Western North America,Both,Low,None,Locally common
rosa canina,,rose,rosa,rosaceae,rosales,dicots,roses,roses,,Fifty plants,shrub,Europe,Both,High,Major,Widespread/Common
rosa chinensis,,china rose,rosa,rosaceae,rosales,dicots,roses,roses,,Floral bouquet,shrub,Asia,Cultivated,High,Major,Widespread/Common
rosa multiflora,,multiflora rose,rosa,rosaceae,rosales,dicots,roses,,,greenwich,shrub,Asia,Both,Moderate,Limited,Widespread/Common
rosa rugosa,,rugosa rose,rosa,rosaceae,rosales,dicots,roses,,,charlevoix,shrub,Asia,Both,Moderate,Limited,Widespread/Common
rosa setigera,,,rosa,rosaceae,rosales,dicots,roses,,,knighton,shrub,Eastern North America,Wild,Low,None,Widespread/Common
,,,rosmarinus,lamiaceae,lamiales,dicots,rosemary,,,NA,herb,Mediterranean,Cultivated,High,Limited,Widespread/Common
,,,rubia,rubiaceae,gentianales,dicots,madder,,,NA,herb,Europe,Wild,Low,Limited,Widespread/Common
rubus caesius,,,rubus,rosaceae,rosales,dicots,,,,knighton,shrub,Europe,Wild,Low,None,Widespread/Common
rubus laciniatus,,cutleaf blackberry,rubus,rosaceae,rosales,dicots,,,,kintbury,shrub,Europe,Both,Low,Limited,Widespread/Common
rubus ulmifolius,,wild blackberry,rubus,rosaceae,rosales,dicots,,,,kintbury,shrub,Europe,Wild,Low,Limited,Widespread/Common
,,,rubus,rosaceae,rosales,dicots,blackberries,,,NA,shrub,Northern Hemisphere,Both,Moderate,Limited,Widespread/Common
rudbeckia laciniata,,cutleaf coneflower,rudbeckia,asteraceae,asterales,dicots,black-eyed susans,,,charlevoix,herb,Eastern North America,Wild,Low,None,Widespread/Common
ruellia simplex,,mexican ruellia,ruellia,acanthaceae,lamiales,dicots,ruellias,,,Expo,herb,Central America,Cultivated,Moderate,Limited,Widespread/Common
ruscus aculeatus,,butchers-broom,ruscus,asparagaceae,asparagales,monocots,,,,london,shrub,Europe,Wild,Low,None,Widespread/Common
,,,ruscus,asparagaceae,asparagales,monocots,butchers-broom,,,NA,shrub,Europe,Wild,Low,None,Widespread/Common
,,,ruta,rutaceae,sapindales,dicots,rue,,,NA,herb,Mediterranean,Both,Moderate,Limited,Widespread/Common
,,,sabal,arecaceae,arecales,monocots,cabbage palms,,,NA,tree,Americas,Both,Moderate,Limited,Widespread/Common
,,,salicornia,amaranthaceae,caryophyllales,dicots,samphire,,,NA,herb,Coastal worldwide,Wild,Low,None,Widespread/Common
salix alba,,white willow,salix,salicaceae,malpighiales,dicots,willows,willows,tree,greenwich,tree,Europe,Both,Low,Limited,Widespread/Common
salix exigua,,narroleaf willow,salix,salicaceae,malpighiales,dicots,willows,,tree,around amman,shrub,Western North America,Wild,Low,None,Widespread/Common
salvia officinalis,,,salvia,lamiaceae,lamiales,dicots,,,,knighton,herb,Mediterranean,Cultivated,High,Limited,Widespread/Common
salvia rosmarinus,,rosemary,salvia,lamiaceae,lamiales,dicots,,,chamaephyte,azraq,herb,Mediterranean,Cultivated,High,Limited,Widespread/Common
salvia yangii,,russian sage,salvia,lamiaceae,lamiales,dicots,sages,,,around amman,herb,Asia,Cultivated,High,Limited,Widespread/Common
sambucus nigra,,elderberry,sambucus,adoxaceae,dipsacales,dicots,,,,kintbury,shrub,Europe,Both,Moderate,Limited,Widespread/Common
sambucus racemosa,,red-berried elder,sambucus,adoxaceae,dipsacales,dicots,elders,,,charlevoix,shrub,North America,Wild,Low,None,Widespread/Common
,,,sanguisorba,rosaceae,rosales,dicots,burnets,,,NA,herb,Northern Hemisphere,Wild,Low,None,Widespread/Common
sansevieria hyacinthoides,,mother-in-law's tongue,sansevieria,asparagaceae,asparagales,monocots,snake plants,asparagus,,Expo,herb,Africa,Cultivated,High,Limited,Widespread/Common
santolina chamaecyparissus,,lavender cotton,santolina,asteraceae,asterales,dicots,,,,amman,herb,Mediterranean,Cultivated,Moderate,Limited,Widespread/Common
sarcobatus vermiculatus,,saltbush,sarcobatus,sarcobataceae,caryophyllales,dicots,,greasewood,halophyte,azraq,shrub,Western North America,Wild,Low,None,Widespread/Common
sassafras albidum,,sassafras,sassafras,lauraceae,laurales,early angiosperms,,,tree,new york,tree,Eastern North America,Wild,Low,Limited,Widespread/Common
,,,saxifraga,saxifragaceae,saxifragales,dicots,alpines,,,NA,herb,Northern Hemisphere,Wild,Moderate,Limited,Widespread/Common
scaevola taccada,,beach naupaka,scaevola,goodeniaceae,asterales,dicots,,,,Expo,shrub,Pacific islands,Both,Low,None,Widespread/Common
schefflera arbiricola,,miniature umbrella tree,schefflera,araliaceae,apiales,dicots,schefflera,,,around amman,shrub,Asia,Cultivated,High,Limited,Widespread/Common
schefflera heptaphylla,,,schefflera,araliaceae,apiales,dicots,schefflera,,,singapore,tree,Asia,Cultivated,High,Limited,Widespread/Common
schinus molle,,pepper tree,schinus,anacardiaceae,sapindales,dicots,,cashews and sumac,tree,Scandinavian forest,tree,South America,Both,Low,Limited,Widespread/Common
schlumbergera truncata,,crab cactus,schlumbergera,cactaceae,caryophyllales,dicots,,cactus,,Amman garden,herb,South America,Cultivated,High,Limited,Widespread/Common
,,,schoenocaulon,melanthiaceae,liliales,monocots,feathershank,,,NA,herb,North America,Wild,Low,None,Locally common
schoenus nigricans,,blalck bog-rush,schoenus,cyperaceae,poales,monocots,bog-rushes,sedges,,Expo,herb,Worldwide,Wild,Low,None,Widespread/Common
,,,scilla,asparagaceae,asparagales,monocots,squills,,,NA,herb,Europe,Both,High,Limited,Widespread/Common
scirpus atrovirens,,dark green bulrush,scirpus,cyperaceae,poales,monocots,bulrushes,,,greenwich,herb,Eastern North America,Wild,Low,None,Widespread/Common
,,,scrophularia,scrophulariaceae,lamiales,dicots,figwort,,,NA,herb,Northern Hemisphere,Wild,Low,None,Widespread/Common
secale cereale,,rye,secale,poaceae,poales,monocots,,grasses,,Fifty plants,herb,Europe,Cultivated,Moderate,Major,Widespread/Common
sedum dendroideum,,tree stonecrop,sedum,crassulaceae,saxifragales,dicots,,,,NA,herb,Central America,Cultivated,High,Limited,Widespread/Common
,,,sedum,crassulaceae,saxifragales,dicots,stonecrops,,,NA,herb,Northern Hemisphere,Both,High,Limited,Widespread/Common
,,,selinum,apiaceae,apiales,dicots,,,,NA,herb,Northern Hemisphere,Wild,Low,None,Widespread/Common
,,,sempervivum,crassulaceae,saxifragales,dicots,house leeks,,,NA,herb,Europe,Both,High,Limited,Widespread/Common
senecio angulatus,,creeping groundsel,senecio,asteraceae,asterales,dicots,groundsels,daisy and sunflower,,around amman,herb,Africa,Wild,Low,None,Widespread/Common
senecio flaccidus,,threadleaf groundsel,senecio,asteraceae,asterales,dicots,groundsels,daisy and sunflower,,Scandinavian forest,herb,North America,Wild,Low,None,Widespread/Common
senecio vernalis,,eastern groundsel,senecio,asteraceae,asterales,dicots,groundsels,daisy and sunflower,,office,herb,Europe,Wild,Low,None,Widespread/Common
senna artemisioides,,silver senna,senna,fabaceae,fabales,dicots,sennas,legumes,,Expo,shrub,Australia,Both,Moderate,Limited,Widespread/Common
sequoia sempervirens,,coast redwood,sequoia,cupressaceae,cupressales,conifers,sequoia,,tree,Kew,tree,Western North America,Both,Moderate,Major,Locally common
,,,sequoiadendron,cupressaceae,cupressales,conifers,giant sequoia,,tree,NA,tree,Western North America,Both,Low,Limited,Rare
sesuvium portulacastrum,,sea purslane,sesuvium,aizoaceae,caryophyllales,dicots,sea-purslanes,fig-marigolds,,Scandinavian forest,herb,Tropical coastlines,Wild,Low,None,Widespread/Common
silene dioica,,red campion,silene,caryophyllaceae,caryophyllales,dicots,campions,carnations,,Scandinavian forest,herb,Europe,Wild,Low,None,Widespread/Common
silphium laciniatum,,compass plant,silphium,asteraceae,asterales,dicots,,,,new york,herb,North America,Wild,Low,None,Widespread/Common
silybum marianum,,milk thistle,silybum,asteraceae,asterales,dicots,,daisy and sunflower,,Scandinavian forest,herb,Mediterranean,Wild,Low,None,Widespread/Common
,,,sisyrinchium,iridaceae,asparagales,monocots,blue-eyed grasses,,,NA,herb,Americas,Wild,Low,None,Widespread/Common
solanum dulcamara,,,solanum,solanaceae,solanales,dicots,nightshades,,,dorset,herb,Europe,Wild,Low,None,Widespread/Common
solanum erianthum,,,solanum,solanaceae,solanales,dicots,nightshades,,,luang prabang,herb,Central America,Wild,Low,None,Widespread/Common
solanum lycopersicum,,tomato,solanum,solanaceae,solanales,dicots,nightshades,,,greenwich,herb,South America,Cultivated,High,Major,Widespread/Common
solanum melongena,,,solanum,solanaceae,solanales,dicots,nightshades,,,luang prabang,herb,Asia,Cultivated,High,Major,Widespread/Common
solanum tuberosum,,potato,solanum,solanaceae,solanales,dicots,,nightshades,,Fifty plants,herb,South America,Cultivated,High,Major,Widespread/Common
,,,soldanella,primulaceae,ericales,dicots,snowbells,,,NA,herb,Europe,Wild,Low,None,Widespread/Common
soliva sessilis,,common soliva,soliva,asteraceae,asterales,dicots,,daisy and sunflower,,Scandinavian forest,herb,South America,Wild,Low,None,Widespread/Common
sonchus oleraceus,,common sow-thistle,sonchus,asteraceae,asterales,dicots,,daisy and sunflower,,amman,herb,Europe,Wild,Low,None,Widespread/Common
sorbaria sorbifolia,,false spiria,sorbaria,rosaceae,rosales,dicots,,,,greenwich,shrub,Asia,Both,Moderate,Limited,Widespread/Common
sorbus aria,,whitebeam,sorbus,rosaceae,rosales,dicots,rowans,,,Kew,tree,Europe,Both,Moderate,Limited,Widespread/Common
sorbus aucaparia,,european mountain ash,sorbus,rosaceae,rosales,dicots,rowans,,tree,nanaimo,tree,Europe,Both,Moderate,Limited,Widespread/Common
sparganium americanum,,american bur-reed,sparganium,typhaceae,poales,monocots,bur-reeds,,,greenwich,herb,North America,Wild,Low,None,Widespread/Common
spathiphyllum wallisii,,peace lily,spathiphyllum,araceae,alismatales,monocots,spathe-leaves,,,amman house,herb,Central America,Cultivated,High,Limited,Widespread/Common
spathoglottis plicata,,philippine ground orchid,spathoglottis,orchidaceae,asparagales,monocots,,,,singapore,herb,Southeast Asia,Cultivated,High,Limited,Widespread/Common
,,,spergula,caryophyllaceae,caryophyllales,dicots,sea spurreys,,,NA,herb,Europe,Wild,Low,None,Widespread/Common
sphagneticola trilobata,,trailing daisy,sphagneticola,asteraceae,asterales,dicots,,daisy and sunflower,,Expo,herb,Central America,Cultivated,Moderate,Limited,Widespread/Common
,,,spinacia,amaranthaceae,caryophyllales,dicots,spinach,,,NA,herb,Asia,Cultivated,High,Major,Widespread/Common
spiraea alba,,white meadowsweet,spiraea,rosaceae,rosales,dicots,meadowsweets,,,charlevoix,shrub,Eastern North America,Wild,Low,None,Widespread/Common
,,,sporobolus,poaceae,poales,monocots,dropseeds,,,NA,herb,Worldwide,Wild,Low,None,Widespread/Common
stachys sylvatica,,hedge nettle,stachys,lamiaceae,lamiales,dicots,,,,kintbury,herb,Europe,Wild,Low,None,Widespread/Common
,,,stachys,lamiaceae,lamiales,dicots,hedgenettle,,,NA,herb,Northern Hemisphere,Wild,Low,None,Widespread/Common
,,,stengeria,stangeriaceae,cycadales,cycads,,,,NA,herb,Africa,Wild,Low,None,Rare
,,,stewartia,theaceae,ericales,dicots,,,,NA,tree,Asia,Both,Moderate,Limited,Widespread/Common
stipa tenuissima,,mexican feather grass,stipa,poaceae,poales,monocots,grasses,,,nanaimo,herb,Central America,Cultivated,High,Limited,Widespread/Common
,,,stipa,poaceae,poales,monocots,feather grass,,,NA,herb,Worldwide,Wild,Low,None,Widespread/Common
strelitzia reginae,,common bird of paradise flower,strelitzia,strelitziaceae,zingiberales,monocots,,,,Kew,herb,Africa,Cultivated,High,Limited,Widespread/Common
strongylodon macrobotrys,,jade vine,strongylodon,fabaceae,fabales,dicots,,,,singapore,vine,Southeast Asia,Cultivated,High,Limited,Locally common
styphnolobium japonicum,,japanese pagoda tree,styphnolobium,fabaceae,fabales,dicots,,legumes,tree,yarmouk river,tree,Asia,Both,Moderate,Limited,Widespread/Common
styrax japonicus,,japanese snowbell,styrax,styracaceae,ericales,dicots,,,,kew,tree,Asia,Both,Moderate,Limited,Widespread/Common
,,,succisa,caprifoliaceae,dipsacales,dicots,scabious,,,NA,herb,Europe,Wild,Low,None,Widespread/Common
,,,swertia,gentianaceae,gentianales,dicots,felworts,,,NA,herb,Northern Hemisphere,Wild,Low,None,Widespread/Common
swietenia macrophylla,,honduran mahogany,swietenia,meliaceae,sapindales,dicots,,mahogany and chinaberry,tree,online,tree,Central America,Cultivated,Low,Major,Uncommon
symphotricum oblongifolium,,aromatic aster,symphotricum,asteraceae,asterales,dicots,,,,new york,herb,North America,Wild,Low,None,Widespread/Common
syngonium podophyllum,,goosefoot plant,syngonium,araceae,alismatales,monocots,,arums,,yarmouk river,vine,Central America,Cultivated,High,Limited,Widespread/Common
,,,syringa,oleaceae,lamiales,dicots,lilac,,,NA,shrub,Asia,Cultivated,High,Limited,Widespread/Common
